Resume_ID,Name,Skills,Experience_Years,Education,Certifications,Job_Role,Salary_Expectation,Projects_Count,Recruiter_Decision
104,Candidate_104,"SQL, Data Analysis, Machine Learning, Power BI",5,M.Tech,TensorFlow Certificate,ML Engineer,91267,7,1
105,Candidate_105,"Java, Power BI",2,M.Tech,Microsoft Azure,ML Engineer,68360,13,1
106,Candidate_106,"Data Analysis, C++",2,M.Tech,TensorFlow Certificate,Cloud Engineer,98497,8,1
107,Candidate_107,"Python, Java, Machine Learning",1,B.Sc,TensorFlow Certificate,Data Analyst,32869,1,1
108,Candidate_108,"C++, Java, Deep Learning, Python, Power BI",2,B.Sc,AWS Certified,Cloud Engineer,68467,12,1
109,Candidate_109,"C++, Cloud Computing, Data Analysis",0,M.Sc,Microsoft Azure,Cloud Engineer,116831,13,1
110,Candidate_110,"SQL, Deep Learning, AWS",3,B.Tech,None,Software Engineer,52399,7,1
111,Candidate_111,"Python, AWS",7,B.Tech,Microsoft Azure,Data Analyst,116416,6,1
112,Candidate_112,"Deep Learning, Data Analysis",0,B.Tech,Google Data Analytics,ML Engineer,70818,11,1
113,Candidate_113,"AWS, SQL, Cloud Computing",5,B.Tech,Google Data Analytics,Cloud Engineer,47429,6,1
114,Candidate_114,"AWS, Cloud Computing, C++, Power BI, SQL",5,MBA,Google Data Analytics,Software Engineer,33436,5,1
115,Candidate_115,"Cloud Computing, SQL, Python, Java, Data Analysis",2,B.Sc,AWS Certified,Data Analyst,35895,5,1
116,Candidate_116,"AWS, Python, SQL, Power BI, Data Analysis",10,B.Sc,None,Data Scientist,79377,10,1
117,Candidate_117,"AWS, Java, Data Analysis, Machine Learning",4,MBA,None,ML Engineer,69790,13,1
118,Candidate_118,"AWS, Power BI, Machine Learning, C++, Python",0,M.Sc,Microsoft Azure,Data Analyst,70764,4,1
119,Candidate_119,"Python, Machine Learning",2,M.Sc,None,Data Scientist,103744,3,0
120,Candidate_120,"Java, Machine Learning, SQL, Cloud Computing",4,M.Sc,Microsoft Azure,Data Analyst,77202,5,1
121,Candidate_121,"C++, Power BI",8,M.Sc,None,Data Analyst,48711,4,0
122,Candidate_122,"C++, Python, Machine Learning",0,MBA,TensorFlow Certificate,Data Scientist,75236,13,1
123,Candidate_123,"SQL, Java, Machine Learning, C++",2,M.Tech,Microsoft Azure,Data Scientist,84240,11,1
124,Candidate_124,"C++, Java",3,B.Tech,Microsoft Azure,ML Engineer,40492,14,1
125,Candidate_125,"SQL, Cloud Computing, Python, Deep Learning",4,B.Tech,Microsoft Azure,Software Engineer,80336,6,1
126,Candidate_126,"C++, Cloud Computing, Data Analysis, Java, SQL",2,B.Tech,TensorFlow Certificate,Cloud Engineer,64584,1,0
127,Candidate_127,"C++, Data Analysis",9,B.Tech,TensorFlow Certificate,Data Scientist,53093,14,1
128,Candidate_128,"Cloud Computing, Power BI, Machine Learning, SQL, Data Analysis",9,B.Tech,AWS Certified,ML Engineer,81885,2,1
129,Candidate_129,"Machine Learning, AWS",7,MBA,Microsoft Azure,Software Engineer,102991,1,1
130,Candidate_130,"SQL, C++",5,M.Tech,TensorFlow Certificate,ML Engineer,65777,6,1
131,Candidate_131,"Python, Deep Learning, C++",10,M.Tech,None,Data Analyst,75017,9,1
132,Candidate_132,"Java, Data Analysis, Python, Power BI, AWS",0,M.Tech,Google Data Analytics,Software Engineer,108069,7,1
133,Candidate_133,"Python, Deep Learning",6,B.Tech,AWS Certified,Data Analyst,35801,12,1
134,Candidate_134,"AWS, Deep Learning, Cloud Computing",6,B.Tech,None,Data Analyst,80993,9,1
135,Candidate_135,"Deep Learning, Machine Learning, AWS, C++",8,M.Tech,Google Data Analytics,Data Scientist,38716,7,1
136,Candidate_136,"C++, Machine Learning, Data Analysis",9,B.Tech,Google Data Analytics,Data Scientist,119912,6,1
137,Candidate_137,"Java, Data Analysis",3,B.Sc,Microsoft Azure,Data Analyst,32368,12,1
138,Candidate_138,"Deep Learning, Machine Learning, Data Analysis",7,M.Sc,AWS Certified,ML Engineer,100031,13,1
139,Candidate_139,"AWS, Java",2,B.Tech,Microsoft Azure,Cloud Engineer,43403,6,1
140,Candidate_140,"Data Analysis, Java, SQL",1,M.Sc,None,Software Engineer,40966,1,0
141,Candidate_141,"Java, Python",5,B.Tech,Google Data Analytics,ML Engineer,82921,2,1
142,Candidate_142,"Power BI, Python, Java",5,B.Sc,Microsoft Azure,Software Engineer,86661,9,1
143,Candidate_143,"Data Analysis, Cloud Computing",0,M.Tech,AWS Certified,Data Scientist,100313,3,0
144,Candidate_144,"AWS, Python, Java, Data Analysis, C++",5,M.Tech,Microsoft Azure,Cloud Engineer,45338,14,1
145,Candidate_145,"Data Analysis, AWS, Machine Learning, Power BI, SQL",4,MBA,TensorFlow Certificate,Cloud Engineer,110135,0,1
146,Candidate_146,"Cloud Computing, Machine Learning, Deep Learning",4,B.Sc,None,Data Analyst,33051,11,1
147,Candidate_147,"Java, Data Analysis, AWS, C++",4,B.Tech,Microsoft Azure,Software Engineer,117235,6,1
148,Candidate_148,"Data Analysis, Python, AWS, Deep Learning, Java",5,B.Tech,Microsoft Azure,Data Analyst,88335,12,1
149,Candidate_149,"Deep Learning, Python, Java",3,MBA,Google Data Analytics,Cloud Engineer,99678,13,1
150,Candidate_150,"C++, Python, Data Analysis, SQL, AWS",2,B.Tech,Microsoft Azure,Software Engineer,102615,6,1
151,Candidate_151,"Python, SQL, Deep Learning, C++",3,B.Tech,Microsoft Azure,Data Scientist,47019,12,1
152,Candidate_152,"Power BI, Deep Learning, Java, SQL",9,MBA,None,Cloud Engineer,116672,13,1
153,Candidate_153,"AWS, Power BI, Deep Learning, Cloud Computing, C++",7,M.Sc,Google Data Analytics,Data Analyst,109634,14,1
154,Candidate_154,"Java, Power BI",9,M.Sc,Google Data Analytics,Data Scientist,55945,6,1
155,Candidate_155,"Machine Learning, C++, Python, Deep Learning",4,B.Sc,TensorFlow Certificate,Cloud Engineer,38308,9,1
156,Candidate_156,"C++, Python",6,B.Sc,Microsoft Azure,Software Engineer,119480,14,1
157,Candidate_157,"Machine Learning, C++, Cloud Computing, Python, SQL",4,M.Tech,Microsoft Azure,ML Engineer,96617,0,1
158,Candidate_158,"Java, Cloud Computing, Python, AWS, Machine Learning",9,M.Tech,Google Data Analytics,Data Analyst,76175,0,1
159,Candidate_159,"Data Analysis, Python, Java, Cloud Computing, SQL",5,B.Sc,AWS Certified,ML Engineer,75543,8,1
160,Candidate_160,"AWS, Python, Java, Cloud Computing",4,B.Tech,None,ML Engineer,33343,0,1
161,Candidate_161,"Deep Learning, Machine Learning, Power BI",6,MBA,TensorFlow Certificate,Data Analyst,46964,14,1
162,Candidate_162,"Deep Learning, SQL, Power BI, AWS",5,M.Sc,Microsoft Azure,ML Engineer,89638,12,1
163,Candidate_163,"Machine Learning, SQL, Power BI",2,M.Sc,None,ML Engineer,97215,11,0
164,Candidate_164,"C++, Deep Learning, Java, Python",2,MBA,None,Data Scientist,102789,4,0
165,Candidate_165,"Machine Learning, Python",8,MBA,AWS Certified,Cloud Engineer,91389,12,1
166,Candidate_166,"AWS, Python, Cloud Computing, Machine Learning, SQL",4,B.Tech,None,Data Analyst,108832,14,1
167,Candidate_167,"Machine Learning, Data Analysis",3,M.Tech,TensorFlow Certificate,Data Analyst,73919,4,1
168,Candidate_168,"Machine Learning, Power BI, Deep Learning",9,MBA,TensorFlow Certificate,ML Engineer,65247,9,1
169,Candidate_169,"Data Analysis, Cloud Computing, Python, C++",4,M.Sc,AWS Certified,Software Engineer,92752,6,1
170,Candidate_170,"SQL, Java, C++",4,M.Tech,Microsoft Azure,Software Engineer,53049,6,1
171,Candidate_171,"Cloud Computing, SQL",5,MBA,None,Software Engineer,98385,4,0
172,Candidate_172,"Deep Learning, Machine Learning, Java, Cloud Computing",3,M.Tech,None,Data Analyst,95417,14,1
173,Candidate_173,"Power BI, Cloud Computing",9,MBA,Microsoft Azure,Data Scientist,39823,2,1
174,Candidate_174,"Data Analysis, Java, AWS, Cloud Computing",0,M.Sc,Google Data Analytics,Data Analyst,39540,7,1
175,Candidate_175,"C++, Machine Learning, Deep Learning, Java",3,M.Tech,Google Data Analytics,Data Scientist,87679,7,1
176,Candidate_176,"Data Analysis, Power BI, C++, Machine Learning",6,M.Sc,None,Software Engineer,79115,1,0
177,Candidate_177,"Machine Learning, Python, Data Analysis",10,B.Sc,TensorFlow Certificate,ML Engineer,48071,3,1
178,Candidate_178,"Java, Machine Learning",1,M.Sc,Microsoft Azure,Cloud Engineer,65195,2,0
179,Candidate_179,"Power BI, SQL, Java, Machine Learning, Cloud Computing",0,B.Sc,Google Data Analytics,Cloud Engineer,100588,0,0
180,Candidate_180,"Machine Learning, C++",2,M.Sc,Microsoft Azure,Cloud Engineer,68304,10,1
181,Candidate_181,"Machine Learning, C++, SQL",7,B.Tech,Google Data Analytics,Software Engineer,112986,9,1
182,Candidate_182,"Machine Learning, AWS, Python, Power BI",1,B.Sc,TensorFlow Certificate,Data Scientist,57350,12,1
183,Candidate_183,"Power BI, Deep Learning, Machine Learning, Java",0,M.Sc,Google Data Analytics,Data Analyst,55351,9,1
184,Candidate_184,"SQL, Deep Learning",9,B.Sc,Microsoft Azure,Software Engineer,105353,9,1
185,Candidate_185,"C++, SQL, Java",1,B.Sc,TensorFlow Certificate,Data Scientist,50358,2,0
186,Candidate_186,"Deep Learning, Java",3,MBA,Google Data Analytics,Data Analyst,119588,9,1
187,Candidate_187,"Python, Deep Learning, Data Analysis",1,M.Sc,AWS Certified,Data Scientist,41338,12,1
188,Candidate_188,"C++, Deep Learning, Cloud Computing, Python, AWS",7,M.Sc,Google Data Analytics,Cloud Engineer,63496,3,1
189,Candidate_189,"C++, Power BI, Deep Learning, AWS",4,B.Sc,AWS Certified,ML Engineer,74425,12,1
190,Candidate_190,"C++, AWS, Python, Cloud Computing, SQL",4,B.Sc,AWS Certified,Data Scientist,65735,8,1
191,Candidate_191,"Data Analysis, SQL, Java",2,B.Sc,Google Data Analytics,Software Engineer,113042,0,0
192,Candidate_192,"Deep Learning, C++, Data Analysis, Cloud Computing, Java",3,MBA,TensorFlow Certificate,Software Engineer,100640,1,1
193,Candidate_193,"Python, Cloud Computing, Machine Learning",6,B.Tech,Microsoft Azure,Cloud Engineer,118726,7,1
194,Candidate_194,"AWS, Data Analysis, C++, Python",4,M.Sc,AWS Certified,Data Analyst,66208,11,1
195,Candidate_195,"AWS, SQL",6,M.Sc,AWS Certified,Cloud Engineer,73286,12,1
196,Candidate_196,"Python, Cloud Computing, C++, AWS",8,MBA,None,Cloud Engineer,51352,2,1
197,Candidate_197,"AWS, Java, Deep Learning, Data Analysis, SQL",0,B.Tech,AWS Certified,Data Analyst,44397,0,0
198,Candidate_198,"Python, Java",3,M.Tech,Google Data Analytics,ML Engineer,80517,8,1
199,Candidate_199,"C++, Cloud Computing",10,M.Sc,Google Data Analytics,Data Scientist,77280,2,1
200,Candidate_200,"SQL, AWS, Deep Learning, Python, Power BI",3,MBA,TensorFlow Certificate,Cloud Engineer,93932,11,1
201,Candidate_201,"Power BI, Data Analysis",8,M.Tech,None,Data Scientist,66939,2,0
202,Candidate_202,"Java, Cloud Computing, AWS",8,M.Sc,TensorFlow Certificate,Data Scientist,89163,6,1
203,Candidate_203,"Power BI, Data Analysis, AWS, Java, C++",3,B.Tech,Microsoft Azure,Data Analyst,90921,2,1
204,Candidate_204,"AWS, Cloud Computing",4,M.Tech,Microsoft Azure,Data Analyst,119112,4,1
205,Candidate_205,"C++, SQL, Machine Learning, Python, Data Analysis",3,M.Sc,AWS Certified,Cloud Engineer,117508,10,1
206,Candidate_206,"Power BI, Data Analysis, Machine Learning",3,M.Tech,AWS Certified,Data Scientist,90566,4,1
207,Candidate_207,"Machine Learning, AWS, Power BI, Java",8,B.Sc,None,Data Scientist,114076,6,1
208,Candidate_208,"SQL, Machine Learning, AWS, Data Analysis, C++",4,MBA,Microsoft Azure,Cloud Engineer,51689,9,1
209,Candidate_209,"Data Analysis, Deep Learning, Power BI, Python",6,B.Sc,Microsoft Azure,Data Scientist,39348,13,1
210,Candidate_210,"Machine Learning, SQL, Data Analysis, Java",2,B.Sc,Google Data Analytics,Software Engineer,104460,6,1
211,Candidate_211,"Cloud Computing, SQL, Java, Machine Learning",10,MBA,AWS Certified,Data Analyst,36801,10,1
212,Candidate_212,"Machine Learning, C++, SQL",8,B.Sc,AWS Certified,Software Engineer,112873,9,1
213,Candidate_213,"Data Analysis, Machine Learning",0,M.Sc,None,Software Engineer,74261,12,0
214,Candidate_214,"Java, C++",6,B.Sc,Google Data Analytics,Software Engineer,76732,13,1
215,Candidate_215,"Python, C++, AWS",7,B.Tech,Google Data Analytics,Cloud Engineer,92856,9,1
216,Candidate_216,"Python, SQL, AWS, Deep Learning, C++",1,M.Tech,TensorFlow Certificate,ML Engineer,49065,10,1
217,Candidate_217,"Deep Learning, C++",1,M.Sc,TensorFlow Certificate,Software Engineer,118092,4,0
218,Candidate_218,"Deep Learning, Machine Learning, Power BI, AWS",4,M.Sc,Google Data Analytics,ML Engineer,56962,5,1
219,Candidate_219,"Cloud Computing, SQL, Data Analysis, Machine Learning",7,MBA,Microsoft Azure,ML Engineer,56432,12,1
220,Candidate_220,"AWS, Java, C++",5,M.Sc,AWS Certified,ML Engineer,87854,3,1
221,Candidate_221,"C++, Deep Learning, Cloud Computing",6,B.Sc,Microsoft Azure,ML Engineer,31324,8,1
222,Candidate_222,"AWS, Power BI, C++",3,MBA,AWS Certified,Software Engineer,65909,3,1
223,Candidate_223,"Deep Learning, SQL, Cloud Computing, Power BI, Machine Learning",2,M.Sc,Google Data Analytics,Software Engineer,56790,12,1
224,Candidate_224,"Cloud Computing, SQL, Deep Learning, AWS, Data Analysis",10,M.Sc,AWS Certified,Data Scientist,85129,9,1
225,Candidate_225,"Cloud Computing, Python, Java",2,B.Tech,TensorFlow Certificate,Data Scientist,45485,6,1
226,Candidate_226,"SQL, Cloud Computing",2,B.Sc,AWS Certified,Software Engineer,34748,12,1
227,Candidate_227,"Java, Machine Learning, Cloud Computing, Deep Learning",1,MBA,None,ML Engineer,33709,11,0
228,Candidate_228,"Deep Learning, SQL",9,M.Sc,TensorFlow Certificate,Software Engineer,85771,3,1
229,Candidate_229,"SQL, Cloud Computing, Power BI, AWS",7,B.Tech,TensorFlow Certificate,ML Engineer,55470,12,1
230,Candidate_230,"Python, AWS, Deep Learning, SQL, Data Analysis",8,B.Tech,AWS Certified,Data Scientist,82224,6,1
231,Candidate_231,"Machine Learning, AWS",2,M.Sc,TensorFlow Certificate,Software Engineer,110219,12,1
232,Candidate_232,"Machine Learning, Python, Data Analysis, Cloud Computing, AWS",8,B.Tech,AWS Certified,Data Analyst,58016,14,1
233,Candidate_233,"Cloud Computing, Python, Machine Learning",8,M.Tech,Google Data Analytics,Data Scientist,112848,7,1
234,Candidate_234,"Python, AWS, Cloud Computing, Data Analysis, Power BI",5,B.Tech,TensorFlow Certificate,ML Engineer,97641,4,1
235,Candidate_235,"Cloud Computing, C++",4,M.Tech,AWS Certified,Data Scientist,91642,5,1
236,Candidate_236,"Python, C++, Machine Learning, AWS",4,B.Tech,AWS Certified,ML Engineer,60354,3,1
237,Candidate_237,"Cloud Computing, Power BI, SQL, Java, Deep Learning",3,M.Sc,AWS Certified,ML Engineer,101726,8,1
238,Candidate_238,"Cloud Computing, Python",8,B.Tech,Microsoft Azure,Data Scientist,68413,0,1
239,Candidate_239,"SQL, Data Analysis, Cloud Computing",0,B.Sc,Microsoft Azure,Data Analyst,98866,4,0
240,Candidate_240,"Python, Cloud Computing, SQL, AWS",6,M.Tech,Microsoft Azure,Software Engineer,37114,8,1
241,Candidate_241,"Data Analysis, SQL, Java, Python, Machine Learning",9,M.Tech,Google Data Analytics,Data Scientist,53959,7,1
242,Candidate_242,"AWS, Java",4,MBA,TensorFlow Certificate,Data Scientist,39337,7,1
